method,n,cross_pct,cross_sd_pp,mean_sec,p95_sec,p99_sec,wall_tps,epoch_proxy_max_pct,epoch_proxy_jain
AnchorOnly,1.0,39.7965,,22.937350878,165.926,240.951,249.79338964259188,56.04309173346196,0.20618616616318328
Heuristic,1.0,54.380649999999996,,23.759873056,166.115,241.135,249.74869038030482,47.616913590902286,0.2667780966990786
PPO TopK7,3.0,75.91821666666667,4.251795985913877,23.839146487000004,163.09799999999998,281.8063333333333,249.82690366341558,35.002492702596925,0.30909958341610516
NSshard-adapted,3.0,76.38775,0.0,24.912933822666663,162.65233333333333,280.6656666666667,249.78705251636788,35.28120134023751,0.31367603237410147
Hash,3.0,83.30604999999998,0.0,24.11561286466667,166.36566666666667,241.07766666666666,249.7808712059563,41.320148817796806,0.36050169516218356
Random,3.0,95.66818333333332,2.4742198469079777,25.431126828999997,164.936,283.30733333333336,249.76952079790655,34.95246249114126,0.3646051951473142
MinState,1.0,96.5696,,25.794662859,163.038,287.568,249.79451278891702,34.94213411432994,0.3622374461940289
