result_set,method,window,target_tps,seed,cross_ratio,mean_max_share,mean_jain,mean_active_shards,latency_mean_sec,latency_p95_sec,latency_p99_sec,wall_tps,quality_ok,run
实验结果9,ppo_top8_w5530_pareto,validation444k,250,7,0.6649422659841133,0.3503181444321344,0.3158163378245469,9.9,5.373960846270092,9.726,10.823,248.6856350425632,True,ppo_top8_w5530_pareto_16s_validation444k_i250_seed7_20260802_152948
实验结果9,ppo_top8_w5530_pareto,validation444k,300,7,0.6650255957515332,0.35138387067474575,0.3156788974076474,9.870431893687707,5.53775245203471,8.94,10.593,298.9668578446489,True,ppo_top8_w5530_pareto_16s_validation444k_i300_seed7_20260802_160433
实验结果9,random,test2M,250,17,0.928149,0.3595626040564657,0.34953085971338516,14.183520599250937,25.1009465685,163.652,282.688,249.75196507968025,True,random_16s_test2M_i250_seed17_20260902_115911
实验结果9,random,test2M,250,27,0.9696895,0.3425414153769018,0.3738915474827191,14.239076154806492,25.3298819545,165.358,286.407,249.82331246226104,True,random_16s_test2M_i250_seed27_20260902_145503
实验结果9,random,test2M,250,7,0.972207,0.3464698553008704,0.37039317824583845,14.234082397003744,25.862551963999998,165.798,280.827,249.7332848517783,True,random_16s_test2M_i250_seed7_20260811_114731
实验结果9,random,validation444k,250,7,0.9538217959141388,0.30568407145576343,0.4201369326801648,15.849162011173185,6.396253745898261,10.412,11.441,248.85400349165337,True,random_16s_validation444k_i250_seed7_20260806_203433
实验结果10,candidate_only_top7_w5530,validation444k,250,17,0.6755319029140645,0.33350558649150414,0.35587702401554977,15.03921568627451,5.475848420900908,10.046,11.507,249.22723218620743,True,candidate_only_top7_w5530_16s_validation444k_i250_seed17_20260904_194627
实验结果10,candidate_only_top7_w5530,validation444k,250,27,0.6759102651012682,0.3345127954059234,0.35514645317281035,14.997206703910615,5.4861277512899225,9.883,11.789,248.7890264080492,True,candidate_only_top7_w5530_16s_validation444k_i250_seed27_20260904_205434
实验结果10,candidate_only_top7_w5530,validation444k,250,7,0.6781263864834612,0.3333582164606881,0.3556655092993459,15.002793296089385,5.579946506793628,9.574,11.562,248.88301709540164,True,candidate_only_top7_w5530_16s_validation444k_i250_seed7_20260904_163601
实验结果10,ppo_top7_w5530_pareto,validation444k,250,17,0.6332859629880704,0.30909225601956614,0.3366858094984749,10.983193277310924,5.058383328190911,9.066,11.066,249.24919699162356,True,ppo_top7_w5530_pareto_16s_validation444k_i250_seed17_20260904_221446
实验结果10,ppo_top7_w5530_pareto,validation444k,250,27,0.6975737524745562,0.2872091041432115,0.3652011776824446,11.957983193277311,5.381935601854875,9.304,11.302,249.36398057739893,True,ppo_top7_w5530_pareto_16s_validation444k_i250_seed27_20260905_113837
实验结果10,ppo_top7_w5530_pareto,validation444k,250,7,0.6642260804154777,0.2891007533293945,0.3653168679474678,10.806722689075631,5.527784561021037,10.759,11.764,249.23170877510665,True,ppo_top7_w5530_pareto_16s_validation444k_i250_seed7_20260904_183631
