EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Epoch start time,Epoch end time,Avg. TPS of this epoch
0,0.00000000000000000000000000000000000000000000000000000000,0,0,0,-62135596800000,-62135596800000,NaN
1,0.00000000000000000000000000000000000000000000000000000000,0,0,0,-62135596800000,-62135596800000,NaN
2,87.00000000000000000000000000000000000000000000000000000000,19,81,55,1778669904870,1778669906624,49.59417994626841164063080213963985443115234375000000000000
3,95.00000000000000000000000000000000000000000000000000000000,22,78,68,1778669909870,1778669911632,53.91907382696075501371524296700954437255859375000000000000
4,18.00000000000000000000000000000000000000000000000000000000,0,0,36,1778669914871,1778669916368,12.02386817992836931523470411775633692741394042968750000000
