EpochID,Total tx # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,Sum of Relay1 TCL (ms) (Duration: Relay1 Tx Propose -> Relay1 Tx Commit),Sum of Relay2 TCL (ms) (Duration: Relay2 Tx Propose -> Relay2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Relay1 Tx Propose -> Relay2 Tx Commit),Sum of All Tx TCL (sec.)
0,0.00000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0.00000000000000000000000000000000000000000000000000000000
1,0.00000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0,0.00000000000000000000000000000000000000000000000000000000
2,87.00000000000000000000000000000000000000000000000000000000,19,81,55,664444,65153,151523,496900,648.45754520000014053948689252138137817382812500000000000000
3,95.00000000000000000000000000000000000000000000000000000000,22,78,68,601564,148304,169490,688112,857.65257729999984803725965321063995361328125000000000000000
4,18.00000000000000000000000000000000000000000000000000000000,0,0,36,0,144395,0,438913,438.93334680000020853185560554265975952148437500000000000000
