EpochID,Total tx # in this epoch,CTX # in this epoch,Normal tx # in this epoch,Relay1 tx # in this epoch,Relay2 tx # in this epoch,CTX ratio of this epoch
0,0.00000000000000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000000000,0,0,0,NaN
1,0.00000000000000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000000000,0,0,0,NaN
2,87.00000000000000000000000000000000000000000000000000000000,68.00000000000000000000000000000000000000000000000000000000,19,81,55,0.78160919540229889523885731250629760324954986572265625000
3,95.00000000000000000000000000000000000000000000000000000000,73.00000000000000000000000000000000000000000000000000000000,22,78,68,0.76842105263157889361025354446610435843467712402343750000
4,18.00000000000000000000000000000000000000000000000000000000,18.00000000000000000000000000000000000000000000000000000000,0,0,36,1.00000000000000000000000000000000000000000000000000000000
