TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
104122054728319180156339062265428048997997491350700262153241550095474742595903,1778669897359,1778669904870,1778669906346,1778669904908,1778669906346,,,8987
113266581203379702949567077482294971683907553794254807559568648564488114762992,1778669897359,1778669905313,1778669906346,1778669905344,1778669906346,,,8987
91271987120198614064800114582648047488913058773592702669763131306592654197305,1778669897359,1778669906587,1778669910347,1778669906624,1778669910347,,,12987
61565424412294871676953298811463075067877808191373711413533758665353794787964,1778669903047,1778669909870,1778669909920,,,,,6873
115345150296137396016439868905415991612356745632615958036361535753080618195143,1778669903047,1778669910315,1778669914928,1778669910347,1778669914928,,,11881
108723756765385737994089666138598199412282981243878110883134563656877151425242,1778669903047,1778669911316,1778669914928,1778669911355,1778669914928,,,11881
46278459202524983315383725256977389658307196975957573271160727615647053955688,1778669903047,1778669911316,1778669914928,1778669911355,1778669914928,,,11880
66027141746388046791256978190336930066939805551530735850462013984246296445258,1778669897358,1778669904870,1778669906346,1778669904908,1778669906346,,,8988
46837940936141413850723473668315295968431063128436271818062414537356765470933,1778669897359,1778669904870,1778669905344,1778669904908,1778669905344,,,7985
54603471411499772919280629910604954663379367861109266652823325180254035172211,1778669897359,1778669906313,1778669906624,1778669906346,1778669906624,,,9265
71173288710413107035649057188569291954666770894885714217526463098506137429201,1778669897358,1778669906587,1778669909920,1778669906624,1778669909920,,,12561
68660832467477657774637642597384378042973627308044233580751744888544324989100,1778669903048,1778669911587,1778669911632,,,,,8584
111815672100881180993940625825521791672082807044731387450928552010150561942493,1778669897359,1778669905313,1778669906624,1778669905344,1778669906624,,,9265
46523648030610590424646178484316574762647337928994386601281660992241443420383,1778669897359,1778669906587,1778669911355,1778669906624,1778669911355,,,13996
30162233329667991936991594868876172335232559751721522671733592080470493304866,1778669903047,1778669910315,1778669914928,1778669910347,1778669914928,,,11881
115537527883348536555568104107571792480781033780753334757420233495758614780653,1778669903047,1778669910315,1778669911355,1778669910347,1778669911355,,,8307
70881698496407877699095603384379941497875041269945563397478152311963475917676,1778669903047,1778669911316,1778669915348,1778669911355,1778669915348,,,12301
43601571043635449082000207099965411594582374799925741416753251963847118108117,1778669903048,1778669911316,1778669915348,1778669911355,1778669915348,,,12300
73949307816718597921700261481597696085708271906686154806463472101739787193199,1778669903047,1778669909870,1778669910347,1778669909920,1778669910347,,,7299
7353360578931946849863531250421168427280618078520211360402392234005890611755,1778669903047,1778669910315,1778669914928,1778669910347,1778669914928,,,11880
80849035309552084843534649800316629550491121063678616668927651968784144506613,1778669903047,1778669911316,1778669914928,1778669911355,1778669914928,,,11881
98544474105619578504448380050320277797801864235871387244452256597969282363764,1778669897359,1778669906313,1778669910347,1778669906346,1778669910347,,,12987
16622649787098145309763475700010792062275119946995095288273626906688179030022,1778669897358,1778669906587,1778669909920,1778669906624,1778669909920,,,12561
79210328715452254266596779189001821806288139154358937303761842070947300110903,1778669897359,1778669904870,1778669904908,,,,,7549
101040791333463861612835788136829532165416703437760117567506308105704204242678,1778669897359,1778669904870,1778669906624,1778669904908,1778669906624,,,9265
73055875942251714743829967314737593281123072008358607269880678357835328243460,1778669897359,1778669904870,1778669906624,1778669904908,1778669906624,,,9265
109862121533180264942207145107500575238528463848274567287832563894420762966511,1778669897359,1778669905313,1778669905344,,,,,7985
31477685753311003873860075478236364508261814613069074545123576718056916499056,1778669897358,1778669905313,1778669906346,1778669905344,1778669906346,,,8988
68517152618830824843329297687674584315204101565541481623622166309359308387503,1778669897358,1778669905313,1778669906624,1778669905344,1778669906624,,,9265
39204876506039694254471093162745438553581720375684783454775255619730492619643,1778669897359,1778669904870,1778669904908,,,,,7549
71002241218497573246106071047424168638331879054689803746271981465151475862389,1778669897359,1778669905313,1778669909920,1778669905344,1778669909920,,,12561
86092903420635572232292359989768345261176519167294944396699170459895473275887,1778669897359,1778669906313,1778669909920,1778669906346,1778669909920,,,12561
86061460038727031725228860785839067652370833125523416506559276932204398900502,1778669897359,1778669906587,1778669910347,1778669906624,1778669910347,,,12987
32824416839210884868560078107699955990841271683752645184380619344913673462170,1778669897359,1778669905313,1778669906624,1778669905344,1778669906624,,,9265
105043192518249966509177846304719197980223726211442139006159760501183800124636,1778669903048,1778669909870,1778669911632,1778669909920,1778669911632,,,8584
49479023355460506971583861085274834610955128006897478168063959690265972521657,1778669903047,1778669910315,1778669910347,,,,,7299
8244288423597019885855990180275625952410070187625553863020547845063591908027,1778669903047,1778669911316,1778669914928,1778669911355,1778669914928,,,11881
93879084035946340561222586252601452074531009157872445505390163788259875026982,1778669897358,1778669904870,1778669906346,1778669904908,1778669906346,,,8988
34204080173146394663078974948771652979995553477216020285311466338457146518833,1778669897359,1778669904870,1778669905344,1778669904908,1778669905344,,,7985
50938777487269972370734198146035309728119204498013100078869500629624670248222,1778669897358,1778669905313,1778669909920,1778669905344,1778669909920,,,12561
42741536132475203436264484968264830252207714453992310801889948229055461602516,1778669897358,1778669905313,1778669906346,1778669905344,1778669906346,,,8988
80359572837111112071177851261703829525949439320011818577334760889000028658671,1778669897359,1778669905313,1778669909920,1778669905344,1778669909920,,,12561
96224367452906711103950881640081451821218526846614187104917767789317318943609,1778669903047,1778669909870,1778669911632,1778669909920,1778669911632,,,8585
112048354652795534356095515764053346181921395490810374659547014675077676564943,1778669903047,1778669911316,1778669911632,1778669911355,1778669911632,,,8585
77123025914157762690422462175399744655755896736566211662286753093631987127940,1778669903047,1778669911587,1778669916368,1778669911632,1778669916368,,,13320
65268315470393031144672204356083449337201184290709127464025791646136776135102,1778669897359,1778669904870,1778669904908,,,,,7549
45512497522259291691013239316572568093329054670902128000051437007045211359643,1778669897358,1778669904870,1778669905344,1778669904908,1778669905344,,,7985
18744156782289586344832234291239572430815648754155219937348154067716574809712,1778669897358,1778669905313,1778669905344,,,,,7985
24336995319485563116881446331232683782522769999020683578308850571190265832624,1778669897359,1778669906587,1778669910347,1778669906624,1778669910347,,,12987
17273459424037393520520246584465568207024684872792050191881734139901046173731,1778669903047,1778669910315,1778669914928,1778669910347,1778669914928,,,11881
24127696841977505924198590914375101282250767938851945212526551478530779075249,1778669903047,1778669911316,1778669914928,1778669911355,1778669914928,,,11880
57726734050700837135609439393455214527287102551246777369119683673704539724477,1778669903048,1778669911316,1778669915348,1778669911355,1778669915348,,,12300
99341403123446084666630243417328954036973266192819756271130153261690834129517,1778669903047,1778669911587,1778669915348,1778669911632,1778669915348,,,12300
89059372208602317245913667073724039190992719307840291027744552456500128233252,1778669897359,1778669904870,1778669906346,1778669904908,1778669906346,,,8987
18458261591238591839292743658865837946169433697389543640978102902227685684114,1778669903047,1778669910315,1778669911355,1778669910347,1778669911355,,,8307
62007936568991286429651105316706543485404657069314070943067802565303128344127,1778669903048,1778669911587,1778669915348,1778669911632,1778669915348,,,12300
6244485155152734194953415453382076418536512868260165400319223086757723110560,1778669897359,1778669904870,1778669906624,1778669904908,1778669906624,,,9265
1546144129132152093779266529831831212168929718897178784204213577930653528842,1778669897358,1778669905313,1778669905344,,,,,7985
20879604571223052265320950684700117707684236247800861955884628427009087585131,1778669897358,1778669905313,1778669906346,1778669905344,1778669906346,,,8988
17882770386285010912349734707781654765167693270158196167241762045617011923965,1778669897359,1778669905313,1778669906346,1778669905344,1778669906346,,,8987
